Tin	DMM7510 100mV
0.1775	7.455E-09
0.18	6.84E-09
0.1825	8.9425E-09
0.185	1.295E-08
0.1875	1.21875E-08
0.19	1.672E-08
0.1925	1.36675E-08
0.195	1.0335E-08
0.1975	9.085E-09
0.2	8.4E-09
0.2025	9.72E-09
0.205	1.3325E-08
0.2075	1.328E-08
0.21	1.722E-08
0.2125	1.38125E-08
0.215	1.0965E-08
0.2175	1.0875E-08
0.22	1.012E-08
0.2225	1.157E-08
0.225	1.485E-08
0.2275	1.43325E-08
0.23	1.748E-08
0.2325	1.55775E-08
0.235	1.2455E-08
0.2375	1.0925E-08
0.24	1.104E-08
