Tint	V7-54_200mV
803.84	0.000010598386258713581
806.4	0.000010614348494163713
808.96	0.00001068187928534425
811.52	0.000010791512582683772
814.08	0.000010911494286098284
816.64	0.000010994430913472106
819.2	0.000010940119389964015
821.76	0.000010901613042725983
824.32	0.000010956912979687498
826.88	0.000010878611153185969
829.44	0.000010753218978519869
832.	0.000010843848959971114
834.56	0.0000109704289068386
837.12	0.000011058357169529697
839.68	0.000011193443668306708
842.24	0.00001125006006107424
844.8	0.000011376696837541787
847.36	0.000011548377887055054
849.92	0.000011575931382734514
852.48	0.000011575931382734512
855.04	0.000011591803878411484
857.6	0.00001160159939931655
860.16	0.000011634035096312122
862.72	0.000011711172284048535
865.28	0.000011861302637849972
867.84	0.000011990745349828944
870.4	0.000012176950057839239
872.96	0.000012346084939499375
875.52	0.000012375657712712573
878.08	0.000012576292221654377
880.64	0.000012678707091462877
883.2	0.00001262878557370686
885.76	0.00001278864563066264
888.32	0.000012746869287092505
890.88	0.000012803867860056105
893.44	0.000012903799571357954
896.	0.0000130054271064899
898.56	0.000013133046737989707
901.12	0.000013099153085430962
903.68	0.000013135264399487524
906.24	0.000013214852358026717
908.8	0.000013289581122067013
911.36	0.000013370292881359526
913.92	0.000013417591477857217
916.48	0.00001354990155601795
919.04	0.000013684657400818542
921.6	0.000013689126416409644
924.16	0.00001381778296415327
926.72	0.000013951125762620174
929.28	0.00001420527060870952
931.84	0.000014337752273863101
934.4	0.00001439793604961797
936.96	0.000014626740710842665
939.52	0.000014634330802754332
942.08	0.000014672271995540123
944.64	0.000014913181069107954
947.2	0.00001479614546803021
949.76	0.000014857707171700481
952.32	0.000015106386252178244
954.88	0.000015266798718497306
957.44	0.000015258330183870053
960.	0.000015471853475119115
962.56	0.000015532448249462226
965.12	0.000015678615449075852
967.68	0.000015660026825576566
970.24	0.000015892265199006574
972.8	0.000016189602281848814
975.36	0.00001641428312442821
977.92	0.000016550289455676193
980.48	0.000016674666112266104
983.04	0.000016726987673284818
985.6	0.00001683823661392922
988.16	0.000017284266140047713
990.72	0.000017652577305059758
993.28	0.000017674838542716902
995.84	0.000018125973094491284
998.4	0.00001832907559771268
1000.96	0.000018764099547332988
1003.52	0.000018686032164278325
1006.08	0.000018762100882127007
1008.64	0.000018944307505011746
1011.2	0.000018587962384295912
1013.76	0.00001858864792883608
1016.32	0.000018562304837731995
1018.88	0.000018556910087619652
1021.44	0.00001842053964705944
1024.	0.000018219895665026303
1026.56	0.00001830999622064406
1029.12	0.00001839205548297657
1031.68	0.000018127760712356176
1034.24	0.00001779268551836836
1036.8	0.000017514944699376644
1039.36	0.000017343797948802584
1041.92	0.00001739630456798863
1044.48	0.00001721408332990429
1047.04	0.000017445940354261337
1049.6	0.00001742850556989898
1052.16	0.000017494561257716632
1054.72	0.00001734616993395884
1057.28	0.000016996656403213215
1059.84	0.000016745109396809292
1062.4	0.000016710632995524467
1064.96	0.000016512826852682325
1067.52	0.000016590279220743154
1070.08	0.000016545779057579066
1072.64	0.00001655908669515857
1075.2	0.00001634894026603015
1077.76	0.000016048588977781744
1080.32	0.000016041055238217823
1082.88	0.0000160301568246297
1085.44	0.0000160010580983467
1088.	0.000015945236056229733
1090.56	0.00001602095552151064
1093.12	0.000016323465950043275
1095.68	0.00001651071002713087
1098.24	0.000016679643715885806
1100.8	0.00001697213285097401
1103.36	0.000017253463080398282
1105.92	0.000017463149243796522
1108.48	0.000017652020414420303
1111.04	0.000017815282607918402
1113.6	0.000018017987338582885
1116.16	0.000018179585248905487
1118.72	0.000018527849548420043
1121.28	0.000018591331102903242
1123.84	0.000018578460091670072
1126.4	0.000018784210182431875
1128.96	0.000018821678357090723
1131.52	0.000018699666373732146
1134.08	0.000018643116878176063
1136.64	0.00001859005811239497
1139.2	0.00001851927977481245
1141.76	0.000018430044340695437
1144.32	0.00001860346909584338
1146.88	0.00001862435921761246
1149.44	0.00001875462825722404
1152.	0.000018771413235141466
1154.56	0.000018876304271051924
1157.12	0.000019122360356399516
1159.68	0.00001925512205910705
1162.24	0.000019529759600272712
1164.8	0.000019801912114181743
1167.36	0.000020103635067652146
1169.92	0.000020539451486779712
1172.48	0.000020731276279519728
1175.04	0.00002127789703894629
1177.6	0.000021405913866136244
1180.16	0.000021629416282255763
1182.72	0.000021563110293070216
1185.28	0.000021316618518579965
1187.84	0.000021332582386783095
1190.4	0.000021162666666666656
1192.96	0.000021143457949078338
1195.52	0.00002092948523441935
1198.08	0.000020734788441971936
1200.64	0.000020521007833166687
1203.2	0.000020263046413497532
1205.76	0.00002018166708673988
1208.32	0.000019790877108180694
1210.88	0.000019592429268016303
1213.44	0.00001945946168034688
1216.	0.00001963899902405075
1218.56	0.000019767167822764416
1221.12	0.00001976436795627704
1223.68	0.000019818361246301084
1226.24	0.000019947859928657335
1228.8	0.00001985039326338676
1231.36	0.00001948225596793143
1233.92	0.000019747984470995165
1236.48	0.000019967343578954106
1239.04	0.00001983336491201967
1241.6	0.000019764202162270827
1244.16	0.00001974925656659848
1246.72	0.000020089231981337657
1249.28	0.000020438019195172063
1251.84	0.00002091791370943946
1254.4	0.000020771332312695877
1256.96	0.00002085741136596027
1259.52	0.00002099206937657912
1262.08	0.00002100025420375244
1264.64	0.000020700325966300886
1267.2	0.00002080889683231135
1269.76	0.000020883422180178112
1272.32	0.00002117429358024068
1274.88	0.00002101550553916479
1277.44	0.00002101607724893809
1280.	0.00002068547589654795
1282.56	0.000020545690203922462
1285.12	0.000020581950686085226
1287.68	0.0000206104997793735
1290.24	0.000020615886965585
1292.8	0.000020517370349156443
1295.36	0.000020702805804474368
1297.92	0.00002071481386834069
1300.48	0.000020758637848696458
1303.04	0.000020706938208135826
1305.6	0.000021081806812720972
1308.16	0.00002125817587658921
1310.72	0.000021521668931567533
1313.28	0.00002136813800862291
1315.84	0.000021156971276626522
1318.4	0.000021045075450354432
1320.96	0.00002109596369608808
1323.52	0.000020955562956991735
1326.08	0.00002074426831038716
1328.64	0.000020731978759609234
1331.2	0.000020434812370614556
1333.76	0.000020323114651931553
1336.32	0.000020228230218627067
1338.88	0.00002010291063060824
1341.44	0.000020096117763278437
1344.	0.000019888360844138617
1346.56	0.00001964448582398858
1349.12	0.000019625182552583353
1351.68	0.000019891655764834317
1354.24	0.000019985150469508316
1356.8	0.000019952969841883457
1359.36	0.00001982827926192509
1361.92	0.000019675875701534148
1364.48	0.000019608775613654878
1367.04	0.000019378766001304948
1369.6	0.000019563511141351323
1372.16	0.000019776651265795435
1374.72	0.00001991402848468607
1377.28	0.00002001900721703139
1379.84	0.000019943935356671977
1382.4	0.0000199872454263546
1384.96	0.000020200330452742582
1387.52	0.000020685616705549007
1390.08	0.000021089749649217418
1392.64	0.00002129077782202111
1395.2	0.00002131188681985294
1397.76	0.000021569407405448613
1400.32	0.00002172138167899187
1402.88	0.000021900929254765
1405.44	0.0000222335668393535
1408.	0.00002248284768044791
1410.56	0.00002253480301321589
1413.12	0.00002250756244662865
1415.68	0.000022666820768103604
1418.24	0.000022823819386285403
1420.8	0.000022628768568645816
1423.36	0.000022680710692372722
1425.92	0.00002261930587794416
1428.48	0.00002257120705087197
1431.04	0.000022663736532178437
1433.6	0.000022497984044008115
1436.16	0.00002203360536392837
1438.72	0.000021971320037216184
1441.28	0.000021711322285337143
1443.84	0.000021514427101624396
1446.4	0.000021185518844510525
1448.96	0.000021232401235428406
1451.52	0.000021133123464783365
1454.08	0.00002116591802980546
1456.64	0.000021379040103178926
1459.2	0.000021570960297997332
1461.76	0.000021900330769698924
1464.32	0.000021991444704197525
1466.88	0.000022186994869367342
1469.44	0.00002224592701197731
1472.	0.000022534075948315336
1474.56	0.000022541184020957414
1477.12	0.00002256443114874971
1479.68	0.000022521873914535207
1482.24	0.000022624584873785212
1484.8	0.000022813926912207704
1487.36	0.00002285812262535038
1489.92	0.00002306028144378698
1492.48	0.000023182162890176275
1495.04	0.00002315898560050599
1497.6	0.000023251744043547915
1500.16	0.000023352726051672078
1502.72	0.000023670796049140372
1505.28	0.000023900341829261662
1507.84	0.000023909312751868587
1510.4	0.000024117802737581383
1512.96	0.000024194204720230913
1515.52	0.000024363242024729692
1518.08	0.000024646949438464413
1520.64	0.000025146286939515418
1523.2	0.000025612853662001634
1525.76	0.000026138827177634076
1528.32	0.000026325354078868096
1530.88	0.000026732973563663932
1533.44	0.000026787341673924176
1536.	0.000027045968887556353
1538.56	0.00002748296422634694
1541.12	0.000027704423085292503
1543.68	0.000027931530557577548
1546.24	0.000027764115020011772
1548.8	0.0000274311296838707
1551.36	0.000027272832372161115
1553.92	0.00002717461403589753
1556.48	0.000027489838976125928
1559.04	0.000027575859793989683
1561.6	0.000027784564782946966
1564.16	0.00002802366674715417
1566.72	0.000028162275463621327
1569.28	0.000028017689700933172
1571.84	0.00002826686470370878
1574.4	0.000028345056586447097
1576.96	0.000027970387083485258
1579.52	0.000027720976939655067
1582.08	0.00002742785109741959
1584.64	0.000027527692154951466
1587.2	0.000027230507127117533
1589.76	0.000026785003777818978
1592.32	0.000026488049478124188
1594.88	0.000026096504334659232
1597.44	0.000025440555912863903
1600.	0.000024886922081018082
1602.56	0.00002474585745803391
1605.12	0.00002428282913775354
1607.68	0.000023978454091584416
1610.24	0.00002364150721271569
1612.8	0.000023203512622972494
1615.36	0.000022911388197914912
1617.92	0.000022795917981564635
1620.48	0.000022466566741617528
1623.04	0.00002222005282922011
1625.6	0.000022071100042061026
1628.16	0.00002183674831308197
1630.72	0.000021801222130880628
1633.28	0.000021701006567540678
1635.84	0.000021716285501899245
1638.4	0.000021671726834749447
1640.96	0.000021708991194126593
1643.52	0.000021706492120510333
1646.08	0.000021882318690872047
1648.64	0.000022109996757625752
1651.2	0.000022328669666298207
1653.76	0.000022522649869754556
1656.32	0.00002278161885185314
1658.88	0.000023024650689593026
1661.44	0.000023142629694042002
1664.	0.00002358921118364634
1666.56	0.000023860396345781365
1669.12	0.00002434602023238203
1671.68	0.000024693187270986288
1674.24	0.000024871643955851933
1676.8	0.000025288184554143922
1679.36	0.000025744785237661867
1681.92	0.000026112055773360892
1684.48	0.00002643192251804622
1687.04	0.000026850659118746225
1689.6	0.00002690949831152147
1692.16	0.00002698057290883364
1694.72	0.00002705269897728422
1697.28	0.000026998811285766697
1699.84	0.00002733166855418005
1702.4	0.00002751055879395318
1704.96	0.00002738799887704262
1707.52	0.00002789212387435243
1710.08	0.000028144273588462378
1712.64	0.000028226442827013564
1715.2	0.000028399325638315958
1717.76	0.00002826866790400046
1720.32	0.00002813573419139596
1722.88	0.00002784928866755645
1725.44	0.000027523525562285377
1728.	0.00002743834915669023
1730.56	0.000027269094151112195
1733.12	0.000027122431828039786
1735.68	0.0000269999305480588
1738.24	0.000027041862710331993
1740.8	0.00002675502800513494
1743.36	0.000026497064927606166
1745.92	0.00002651135143040931
1748.48	0.00002668568580427424
1751.04	0.00002686902633144713
1753.6	0.000027028718751234443
1756.16	0.00002722168108450809
1758.72	0.000027101751133254984
1761.28	0.000027165515185412694
1763.84	0.00002756952154181213
1766.4	0.000027978521489012064
1768.96	0.000027944549538127957
1771.52	0.00002811346781724214
1774.08	0.000027954189318319414
1776.64	0.000027899498107791564
1779.2	0.000027876925499216864
1781.76	0.000028196036739623905
1784.32	0.000028404389219508526
1786.88	0.000028760194516418363
1789.44	0.000029061982741872368
1792.	0.000029024236382719854
1794.56	0.000029122255150771988
1797.12	0.000029137166319934996
1799.68	0.000029264095935691093
1802.24	0.000029700523793360926
1804.8	0.000029722715951870114
1807.36	0.000029908036871568643
1809.92	0.00003042083664858675
1812.48	0.000030478505603494082
1815.04	0.00003039908227854545
1817.6	0.00003043643944718601
1820.16	0.000030306923524355108
1822.72	0.000030306479025669274
1825.28	0.000030483821002842346
1827.84	0.000030327135319893128
1830.4	0.000030256906549671502
1832.96	0.000029996772614547842
1835.52	0.00002961870707358965
1838.08	0.000029456554958861746
1840.64	0.00002931897364885444
1843.2	0.000029142114191587985
1845.76	0.00002898622733797704
1848.32	0.00002884303273929422
1850.88	0.000028794455960209475
1853.44	0.00002862549879934163
1856.	0.000028267998157319533
1858.56	0.000028205332400491594
1861.12	0.000028278712200758576
1863.68	0.00002815044363100199
1866.24	0.000027925468601658597
1868.8	0.000027972482732539498
1871.36	0.000028018261473546118
1873.92	0.00002802392658981089
1876.48	0.000028099373930550257
1879.04	0.00002822210847781101
1881.6	0.000028348152033833382
1884.16	0.000028487801977532594
1886.72	0.000028502725714491833
1889.28	0.000028516964974866732
1891.84	0.00002865680867399188
1894.4	0.000028630077287899695
1896.96	0.00002850349213381092
1899.52	0.000028294466832462705
1902.08	0.000028002130407841766
1904.64	0.000027562059023229715
1907.2	0.00002747628652250273
1909.76	0.000027406603791381677
1912.32	0.000027301119436552193
1914.88	0.000027309613174362832
1917.44	0.000027080987423323782
1920.	0.000027190365666291906
1922.56	0.000027389208580509684
1925.12	0.000027384435923429997
1927.68	0.000027495361373632922
1930.24	0.00002735622170142975
1932.8	0.000027321662549055158
1935.36	0.000027286926197967635
1937.92	0.00002705139347078279
1940.48	0.000026896601011197574
1943.04	0.0000268410977751987
1945.6	0.000027048391912767483
1948.16	0.000027171612690044297
1950.72	0.000027288006957880453
1953.28	0.000027375965400328785
1955.84	0.000027508269127664112
1958.4	0.000027922078547271495
1960.96	0.000028095395792035208
1963.52	0.00002807895894239826
1966.08	0.000028288997468587966
1968.64	0.000028118802996492468
1971.2	0.000027773620789038864
1973.76	0.000027573113396930692
1976.32	0.00002760610488360216
1978.88	0.000027381816590982802
1981.44	0.00002756714432153688
1984.	0.000027664337559793853
1986.56	0.0000277009534051728
1989.12	0.000027772611365236134
1991.68	0.00002806832430892714
1994.24	0.000028082952374072827
1996.8	0.000028144998024121032
1999.36	0.00002822417253663562
2001.92	0.00002872320507031048
2004.48	0.000028970685517912355
2007.04	0.00002932940308215552
2009.6	0.000029846045452547886
2012.16	0.000030224194529107497
2014.72	0.000030418059851929306
2017.28	0.000030668804748654764
2019.84	0.00003095223624733937
2022.4	0.000031228782347913144
2024.96	0.00003203796787563154
2027.52	0.0000324201986531716
2030.08	0.0000324815143160947
2032.64	0.000032537679447407134
2035.2	0.000032846450534435365
2037.76	0.000032891589155216455
2040.32	0.00003295989367836138
2042.88	0.0000326822879003291
2045.44	0.00003277493259998152
2048.	0.000033104670462035994
2050.56	0.000033253733224005554
2053.12	0.00003347856251792578
2055.68	0.00003355234614350137
2058.24	0.00003378549162913306
2060.8	0.00003381105456043758
2063.36	0.000033873625321840626
2065.92	0.000034327988958800864
2068.48	0.00003429241860884768
2071.04	0.00003422575221736467
2073.6	0.000033946410850044195
2076.16	0.00003370203242404096
2078.72	0.00003398076837532924
2081.28	0.00003409428166064733
2083.84	0.00003431122709940092
2086.4	0.000034484339237140966
2088.96	0.00003462482414299502
2091.52	0.00003446879421931279
2094.08	0.00003446926954452809
2096.64	0.00003463735606024862
2099.2	0.00003451060832716672
2101.76	0.000034658666728219284
2104.32	0.000034544984392334926
2106.88	0.0000345593573602802
2109.44	0.00003441066005372944
2112.	0.000034278613491991345
2114.56	0.00003393436408650607
2117.12	0.00003359429301797816
2119.68	0.000033392155629728344
2122.24	0.000033405531454136934
2124.8	0.00003336436213420271
2127.36	0.000033499925635738325
2129.92	0.000033089269522174545
2132.48	0.0000331057702550141
2135.04	0.000032849288062638735
2137.6	0.000032663399716910425
2140.16	0.00003267988151753304
2142.72	0.000032419715746234805
2145.28	0.000032252207184418624
2147.84	0.000032137534840121106
2150.4	0.00003217721878458592
2152.96	0.00003189692198316317
2155.52	0.00003168463553066548
2158.08	0.000031363221603230304
2160.64	0.000031256762496742626
2163.2	0.000031130659631088204
2165.76	0.000031121535797579124
2168.32	0.000030803134916938396
2170.88	0.00003054790313225731
2173.44	0.00003056893226063929
2176.	0.000030493613244597783
2178.56	0.00003063242034475526
2181.12	0.00003082997795364473
2183.68	0.000030842316488876095
2186.24	0.00003077347641792267
2188.8	0.00003064886579014337
2191.36	0.000030524545623335814
2193.92	0.00003045073100381442
2196.48	0.00003048806071307984
2199.04	0.00003039496192171032
2201.6	0.00003046652165100424
2204.16	0.00003040027995192732
2206.72	0.000030427538217140627
2209.28	0.000030277873238096177
2211.84	0.0000300228934988692
2214.4	0.000029869848211495424
2216.96	0.000029917104839130976
2219.52	0.000029862960531958838
2222.08	0.00002967568960614055
2224.64	0.00002963744725549453
2227.2	0.00002966681784530766
2229.76	0.000029741390597392462
2232.32	0.0000299407051828183
2234.88	0.000030089518304921737
2237.44	0.000030357277863617604
2240.	0.000030634357658608633
2242.56	0.000030831454114985284
2245.12	0.000030843674016634954
2247.68	0.000031306810221135925
2250.24	0.00003142746846664906
2252.8	0.00003173922831520078
2255.36	0.0000321021686328717
2257.92	0.00003245186389442401
2260.48	0.000032781597178905085
2263.04	0.00003317139475578985
2265.6	0.00003346438902209661
2268.16	0.000033595376782461506
2270.72	0.00003395349960035208
2273.28	0.00003400483546268739
2275.84	0.00003438397576132744
2278.4	0.00003487760301651729
2280.96	0.00003537002331541967
2283.52	0.00003548742386066738
2286.08	0.00003570696834326129
2288.64	0.00003591956628295438
2291.2	0.000035876562937073225
2293.76	0.000036039773386881546
2296.32	0.00003615540202822006
2298.88	0.00003597773154234896
2301.44	0.0000362384454903291
2304.	0.00003662396916653231
2306.56	0.00003666205426504809
2309.12	0.00003687265083681034
2311.68	0.00003685278841854737
2314.24	0.000037075187663269676
2316.8	0.00003697330954200458
2319.36	0.00003719159134595401
2321.92	0.000037330002746673674
2324.48	0.00003751267309649422
2327.04	0.00003761878165432199
2329.6	0.000037774629181208044
2332.16	0.000037779457736241284
2334.72	0.000038165480007171073
2337.28	0.00003835260126539293
2339.84	0.000038889059904639815
2342.4	0.0000389352819238398
2344.96	0.00003918129970279185
2347.52	0.000039361233729535304
2350.08	0.00003985225635658674
2352.64	0.00003988481277991519
2355.2	0.000039865336914277874
2357.76	0.000040112149412477086
2360.32	0.0000401070297855902
2362.88	0.00004003164842193955
2365.44	0.00003994082250085045
2368.	0.00003955621121054607
2370.56	0.000039472325936590574
2373.12	0.00003916813943330297
2375.68	0.00003905172574362819
2378.24	0.000038347636000729455
2380.8	0.00003767387904046454
2383.36	0.00003708152120576137
2385.92	0.000036714571218159844
2388.48	0.000036300533206980706
2391.04	0.00003606289040982582
2393.6	0.0000356777431872215
2396.16	0.000035006527045998414
2398.72	0.00003453940851581306
2401.28	0.00003419169410771501
