Tint	ADA4528
0.010294642651860692	2.9488436144538733e-10
0.019938994983268156	4.333271698589013e-10
0.027963243023905657	8.230436822257774e-10
0.03631524853758865	9.977114931879875e-10
0.050152979166660595	1.331613254814921e-9
0.05939349368581634	1.3104273096543181e-9
0.07033654133455912	8.099490706684304e-10
0.08077370978558807	1.4198380349338098e-9
0.08995098734224617	1.331613254814921e-9
0.10489903991675788	9.81837919607701e-10
0.11862711711166235	1.538383724600872e-9
0.13623007541274154	1.8059944772832547e-9
0.1426601481274103	1.4898218120281455e-9
0.17421996527804556	1.988416978008348e-9
0.18244316446288814	2.4493718729398976e-9
0.2297608156939261	2.154434690031878e-9
0.22280393084657032	2.921942341589129e-9
0.2598294818772727	3.321949567073977e-9
0.2805893717192923	2.7846852818083482e-9
0.30770217338405625	3.1659023296501773e-9
0.3374348319935361	3.837775817755576e-9
0.3643952442240272	3.0659647980137382e-9
0.399606043277789	3.776716867103302e-9
0.4450081373776252	2.875454286602056e-9
0.47323208715805637	4.652235506259916e-9
0.5110424461986489	2.921942341589129e-9
0.5604234772803289	4.803878778024882e-9
0.6337657763523362	4.158200943657079e-9
0.643584152020701	3.2690974036550136e-9
0.6950053225648921	4.578218515250348e-9
0.7981364616333873	4.652235506259916e-9
0.8230576712142125	5.823366574852712e-9
0.930770756627136	4.092044034479023e-9
0.930770756627136	6.836374894767226e-9
1.0525801917552022	4.578218515250348e-9
1.0688868907429896	5.7307169076472766e-9
1.1022620784494706	7.407160263790327e-9
1.172171338379767	6.4115816035174635e-9
1.388139890023392	5.5498162851316454e-9
1.4761805060334896	6.209188234227407e-9
1.8306751061512363	7.772258986355039e-9
2.0386711683577508	7.648602472676186e-9
2.2702991474172847	9.728809543570362e-9
2.730246005719053	1.1421192271640297e-8
3.2833749068817193	1.4068853472381098e-8
4.009735513248303	1.625343929811935e-8
4.8967843582242985	1.7895190189078215e-8
6.166792665184979	1.938930262337873e-8
7.647705528428115	2.350413530899111e-8
9.056769060603063	2.4270271067480867e-8
11.23168988727356	2.58782749834918e-8
12.701574701510955	3.291644578600281e-8
14.363822498417042	4.186880322873317e-8
17.54144159936846	5.240865148017857e-8
23.85593480092912	6.774009028517706e-8
27.395892913025186	9.335750868773567e-8
33.45651588561095	1.286627223508115e-7
38.421094544969556	1.717219733887851e-7
46.92075429215814	2.0816511952267634e-7
59.089913348513086	2.2554532561047275e-7
74.41521160963812	2.647802404014962e-7
86.7815294050385	2.868873789879536e-7
105.97966732950977	3.3143472628605726e-7
131.42995585251325	3.477711346897143e-7
146.36265099948136	4.3531734339880784e-7
