Tint	10||ADA4528
0.00104184750087221	4.97184307813749e-11
0.0019567846221745853	6.743039774174703e-11
0.0030094466369422574	8.715624428380676e-11
0.00422056817542256	1.1632461981305122e-10
0.005234108607301265	1.3876775338039999e-10
0.006010792706190015	1.1447389700950732e-10
0.007009666070912063	1.3224919428692403e-10
0.008174532183599516	1.5278460720253178e-10
0.00998293308877717	1.8226216192819552e-10
0.011117165353562943	2.318323990210422e-10
0.01200540608139729	2.039166727773164e-10
0.014888421817400745	2.1056349695157966e-10
0.016077978886204665	1.7936237390528314e-10
0.018182094762413035	2.721609866198752e-10
0.020247892292810724	1.943377695432183e-10
0.021203594764288534	2.3938915822666965e-10
0.023978497050950252	2.9019275606543807e-10
0.025110284427261726	2.039166727773164e-10
0.0258943341367128	2.593763343429367e-10
0.028396452949652557	3.044963489085609e-10
0.03261017397180942	2.635697243576772e-10
0.035215665906337554	3.4618120283724486e-10
0.038029331775379566	1.943377695432183e-10
0.03921676900316083	3.5177798483721413e-10
0.04367246597402807	2.9019275606543807e-10
0.04503610581479271	3.5177798483721413e-10
0.05171896814849125	3.811487741780991e-10
0.05848739984955103	2.593763343429367e-10
0.06219687232317656	4.620368527507691e-10
0.06614161232567138	4.1297180130443227e-10
0.07033654133455912	4.770973070061111e-10
0.07713302362219568	3.5177798483721413e-10
0.07954144416140739	5.783477558344938e-10
0.08722737818828327	3.9993558661413915e-10
0.08857871522725755	5.169313077201251e-10
0.09565598897302177	5.600911448821402e-10
0.10817443339175677	6.266353998445309e-10
0.12046490268437215	4.620368527507691e-10
0.13415177989609048	6.266353998445309e-10
0.14939372089513872	5.511801039042066e-10
0.1540584272548354	7.719020406398833e-10
0.19105449944333566	6.575222412047006e-10
0.20951572168716906	6.899314941130291e-10
0.30770217338405625	7.010857570707441e-10
0.41208344085703125	1.0138416980647198e-9
0.4880084024767479	1.081012823437423e-9
0.6052002653844462	1.2895784325355998e-9
0.7278096409038107	1.116249285810262e-9
0.8105012877368692	9.508443992979736e-10
0.9165711264451253	1.3316132548149267e-9
1.0207093126214775	1.4427928455695836e-9
1.2465144845151344	1.2488705167568346e-9
1.4314835120601297	1.2290010072088928e-9
1.6188209383358052	1.8059944772832694e-9
1.8306751061512363	1.7211586171076593e-9
1.9769426246239061	2.1544346900318866e-9
2.134896644370482	2.053230991781404e-9
2.4142893438681923	2.224660181574765e-9
2.730246005719053	2.2971747281933325e-9
2.7725433053705038	2.653875816900168e-9
3.2833749068817193	2.6967815676470323e-9
3.545710423561514	2.410402406399674e-9
3.829006057578918	2.6967815676470323e-9
4.071854818311516	2.2971747281933325e-9
4.330105884421125	3.217086117293846e-9
4.74851553875824	4.22542742505754e-9
5.623413251903491	4.026939680646728e-9
6.072713457569943	5.122155235079184e-9
7.1915900987535935	5.823366574852712e-9
8.008677967877992	5.040661828850237e-9
8.78254084090675	6.4115816035174635e-9
9.33955984981533	5.5498162851316454e-9
10.891607645874041	6.946899959798222e-9
12.316986092214707	6.110400150715537e-9
13.716406774139642	7.648602472676186e-9
15.041796307398593	1.1421192271640343e-8
16.495255636472056	1.054109123247148e-8
18.36939933676479	1.4762306867176153e-8
21.753898206023983	1.6516211960978584e-8
23.85593480092912	1.5489940560436606e-8
25.76197939204918	2.1347805329983543e-8
28.251309025129835	2.0021312177300508e-8
31.948541635283902	2.8038914352090585e-8
37.25774939557389	3.7422631950005176e-8
44.12236202599813	4.684322273613196e-8
49.896630240417515	6.252013404633398e-8
60.00534139640484	7.701355375616756e-8
69.97702736058662	9.18721922475176e-8
80.36084789550162	1.0444928529862602e-7
90.87762597309776	1.3074283878295323e-7
110.98191786149064	1.4627635485078958e-7
125.50605780452698	1.5848931924611173e-7
148.63011880060213	1.7449823750071544e-7
