Tint	LT1028
0.021203594764288534	1.0909653199393727e-10
0.030665276452203905	1.456076120695691e-10
0.04044128306358906	1.7650872146250837e-10
0.0509299551548248	2.0721343515014308e-10
0.06219687232317656	2.3938915822666866e-10
0.08202506581709688	2.8557579405054534e-10
0.10489903991675788	3.299194808393439e-10
0.1970200322198265	8.099490706684304e-10
0.6052002653844462	1.748984938954051e-9
0.9898034458874769	2.5292110737030364e-9
2.0702545074115157	7.173339622431368e-9
3.88832548016772	1.5000972088381357e-8
9.780387976610191	3.4538896479636115e-8
20.144398431943653	1.0115215144324004e-7
40.85789277822574	5.27701173185009e-7
